x,t
1.075500187715424660e+00,-1.823931258913902287e-01
1.081789662497386173e+00,-1.761036829007087690e-01
1.088079137279347686e+00,-1.698142411326422074e-01
1.094368612061309198e+00,-1.635248006342087113e-01
1.100658086843270711e+00,-1.572353614542350009e-01
1.106947561625232446e+00,-1.509459236434251839e-01
1.113237036407193958e+00,-1.446564872544331415e-01
1.119526511189155471e+00,-1.383670523419378018e-01
1.125815985971116984e+00,-1.320776189627210773e-01
1.132105460753078496e+00,-1.257881871757480230e-01
1.138394935535040009e+00,-1.194987570422514356e-01
1.144684410317001522e+00,-1.132093286258188947e-01
1.150973885098963256e+00,-1.069199019924833571e-01
1.157263359880924769e+00,-1.006304772108173040e-01
1.163552834662886282e+00,-9.434105435202955192e-02
1.169842309444847794e+00,-8.805163349006805973e-02
1.176131784226809307e+00,-8.176221470172406747e-02
1.182421259008770820e+00,-7.547279806674200842e-02
1.188710733790732554e+00,-6.918338366793275185e-02
1.195000208572694067e+00,-6.289397159129173076e-02
1.201289683354655580e+00,-5.660456192612151050e-02
1.207579158136617092e+00,-5.031515476515857621e-02
1.213868632918578605e+00,-4.402575020470567146e-02
1.220158107700540118e+00,-3.773634834476879973e-02
1.226447582482501630e+00,-3.144694928919977706e-02
1.232737057264463365e+00,-2.515755314584389168e-02
1.239026532046424878e+00,-1.886816002669378101e-02
1.245316006828386390e+00,-1.257877004804819343e-02
1.251605481610347903e+00,-6.289383330678521844e-03
1.257894956392309416e+00,0.000000000000000000e+00
1.264184431174270928e+00,6.289379813749329529e-03
1.270473905956232663e+00,1.257875597532320811e-02
1.276763380738194176e+00,1.886812834427487040e-02
1.283052855520155688e+00,2.515749677475676016e-02
1.289342330302117201e+00,3.144686111531314054e-02
1.295631805084078714e+00,3.773622120866426677e-02
1.301921279866040226e+00,4.402557689148256514e-02
1.308210754648001739e+00,5.031492799415993034e-02
1.314500229429963474e+00,5.660427434056680696e-02
1.320789704211924986e+00,6.289361574780083508e-02
1.327079178993886499e+00,6.918295202592661397e-02
1.333368653775848012e+00,7.547228297770569583e-02
1.339658128557809524e+00,8.176160839831525529e-02
1.345947603339771037e+00,8.805092807505698893e-02
1.352237078121732772e+00,9.434024178705380237e-02
1.358526552903694284e+00,1.006295493049360612e-01
1.364816027685655797e+00,1.069188503905147414e-01
1.371105502467617310e+00,1.132081447964421450e-01
1.377394977249578822e+00,1.194974322658604038e-01
1.383684452031540335e+00,1.257867125320355495e-01
