1.2885706908, 0.0319336304
1.3205043202, 0.0638672609
1.3524379496, 0.0958008917
1.3843715790, 0.1277345228
1.4163052084, 0.1596681543
1.4482388377, 0.1916017862
1.4801724671, 0.2235354186
1.5121060965, 0.2554690517
1.5440397259, 0.2874026856
1.5759733553, 0.3193363204
1.6079069847, 0.3512699563
1.6398406141, 0.3832035937
1.6717742434, 0.4151372327
1.7037078728, 0.4470708737
1.7356415022, 0.4790045172
1.7675751316, 0.5109381637
1.7995087610, 0.5428718139
1.8314423904, 0.5748054684
1.8633760198, 0.6067391281
1.8953096491, 0.6386727944
1.9272432785, 0.6706064684
1.9591769079, 0.7025401518
1.9911105373, 0.7344738466
2.0230441667, 0.7664075552
2.0549777961, 0.7983412806
2.0869114255, 0.8302750263
2.1188450548, 0.8622087965
2.1507786842, 0.8941425965
2.1827123136, 0.9260764324
2.2146459430, 0.9580103121
2.2465795724, 0.9899442445
2.2785132018, 1.0218782410
2.3104468312, 1.0538123149
2.3423804605, 1.0857464828
2.3743140899, 1.1176807644
2.4062477193, 1.1496151838
2.4381813487, 1.1815497699
2.4701149781, 1.2134845581
2.5020486075, 1.2454195911
2.5339822369, 1.2773549205
2.5659158662, 1.3092906089
2.5978494956, 1.3412267321
2.6297831250, 1.3731633821
2.6617167544, 1.4051006699
2.6936503838, 1.4370387304
2.7255840132, 1.4689777267
2.7575176426, 1.5009178565
2.7894512719, 1.5328593592
2.8213849013, 1.5648025247
2.8533185307, 1.5967477042
2.8852521601, 1.6286953231
2.9171857895, 1.6606458967
2.9491194189, 1.6926000491
2.9810530483, 1.7245585363
3.0129866776, 1.7565222740
3.0449203070, 1.7884923715
3.0768539364, 1.8204701723
3.1087875658, 1.8524573043
3.1407211952, 1.8844557392
3.1726548246, 1.9164678658
3.2045884540, 1.9484965784
3.2365220833, 1.9805453835
3.2684557127, 2.0126185302
3.3003893421, 2.0447211673
3.3323229715, 2.0768595351
3.3642566009, 2.1090411974
3.3961902303, 2.1412753236
3.4281238597, 2.1735730322
3.4600574890, 2.2059478075
3.4919911184, 2.2384160084
3.5239247478, 2.2709974872
3.5558583772, 2.3037163467
3.5877920066, 2.3366018637
3.6197256360, 2.3696896228
3.6516592654, 2.4030229063
3.6835928947, 2.4366544077
3.7155265241, 2.4706483472
3.7474601535, 2.5050830974
3.7793937829, 2.5400544553
3.8113274123, 2.5756797451
3.8432610417, 2.6121029966
3.8751946711, 2.6495015335
3.9071283004, 2.6880944372
3.9390619298, 2.7281535386
3.9709955592, 2.7700178824
4.0029291886, 2.8141130500
4.0348628180, 2.8609774363
4.0667964474, 2.9112987238
4.0987300768, 2.9659657440
4.1306637061, 3.0261443159
4.1625973355, 3.0933918741
4.1945309649, 3.1698376704
4.2264645943, 3.2584798319
4.2583982237, 3.3637045450
4.2903318531, 3.4922632736
4.3222654825, 3.6553005855
4.3541991118, 3.8731728456
4.3861327412, 4.1895019548
4.4180663706, 4.7301189515
4.4500000000, 6.4878918614
