L,lnL,T_lat,t_in,t_min,H_p_sigma_min,summary_stagnation_time,t_in_after_drop,T_lat_after_drop
1.000000000000000000e+02,4.605170185988091802e+00,4.187956650424577987e-01,3.331204334957541757e+00,3.749999999999999556e+00,-3.904024717468216998e+00,nan,3.331204334957541757e+00,4.187956650424577987e-01
2.000000000000000000e+02,5.298317366548036311e+00,8.267658867157456903e-01,3.253234113284253493e+00,4.079999999999999183e+00,-8.721005539758666103e+00,nan,3.253234113284253493e+00,8.267658867157456903e-01
3.000000000000000000e+02,5.703782474656200918e+00,1.099951421378502214e+00,3.240048578621497644e+00,4.339999999999999858e+00,-1.362757789233114813e+01,nan,3.240048578621497644e+00,1.099951421378502214e+00
4.000000000000000000e+02,5.991464547107981709e+00,1.286794138778148522e+00,3.235705861221851443e+00,4.522499999999999964e+00,-1.851571047679955839e+01,nan,3.235705861221851443e+00,1.286794138778148522e+00
5.000000000000000000e+02,6.214608098422191418e+00,1.506523838462820120e+00,3.233476161537180094e+00,4.740000000000000213e+00,-2.343875756827044654e+01,nan,3.233476161537180094e+00,1.506523838462820120e+00
6.000000000000000000e+02,6.396929655216146315e+00,1.702434886811308168e+00,3.232565113188691441e+00,4.934999999999999609e+00,-2.828489348587761398e+01,nan,3.232565113188691441e+00,1.702434886811308168e+00
7.000000000000000000e+02,6.551080335043404368e+00,1.868278767870307444e+00,3.231721232129693089e+00,5.100000000000000533e+00,-3.320776307562477569e+01,nan,3.231721232129693089e+00,1.868278767870307444e+00
8.000000000000000000e+02,6.684611727667927106e+00,2.048486480946687394e+00,3.231513519053312855e+00,5.280000000000000249e+00,-3.798465424236278665e+01,nan,3.231513519053312855e+00,2.048486480946687394e+00
