x,t
3.836579616996543818e-01,-2.114075639179844757e+00
3.899474364816159500e-01,-2.107792357048786869e+00
3.962369112635774626e-01,-2.101509312627676263e+00
4.025263860455390308e-01,-2.095226515023404623e+00
4.088158608275005990e-01,-2.088943973690364331e+00
4.151053356094621116e-01,-2.082661698443601495e+00
4.213948103914236798e-01,-2.076379699472453044e+00
4.276842851733851925e-01,-2.070097987354696301e+00
4.339737599553467606e-01,-2.063816573071219462e+00
4.402632347373083288e-01,-2.057535468021237435e+00
4.465527095192698415e-01,-2.051254684038068987e+00
4.528421843012314096e-01,-2.044974233405498332e+00
4.591316590831929778e-01,-2.038694128874738887e+00
4.654211338651544905e-01,-2.032414383682020098e+00
4.717106086471160586e-01,-2.026135011566825739e+00
4.780000834290776268e-01,-2.019856026790792569e+00
4.842895582110391395e-01,-2.013577444157309770e+00
4.905790329930007077e-01,-2.007299279031828476e+00
4.968685077749622203e-01,-2.001021547362914266e+00
5.031579825569237885e-01,-1.994744265704064157e+00
5.094474573388853011e-01,-1.988467451236318073e+00
5.157369321208469248e-01,-1.982191121791686772e+00
5.220264069028084375e-01,-1.975915295877426425e+00
5.283158816847699502e-01,-1.969639992701189612e+00
5.346053564667315738e-01,-1.963365232197079369e+00
5.408948312486930865e-01,-1.957091035052635375e+00
5.471843060306545992e-01,-1.950817422736788265e+00
5.534737808126162228e-01,-1.944544417528806246e+00
5.597632555945777355e-01,-1.938272042548272900e+00
5.660527303765392482e-01,-1.932000321786124131e+00
5.723422051585007608e-01,-1.925729280136780908e+00
5.786316799404623845e-01,-1.919458943431413100e+00
5.849211547224238972e-01,-1.913189338472365941e+00
5.912106295043854098e-01,-1.906920493068789302e+00
5.975001042863470335e-01,-1.900652436073504870e+00
6.037895790683085462e-01,-1.894385197421148082e+00
6.100790538502700588e-01,-1.888118808167625229e+00
6.163685286322316825e-01,-1.881853300530922146e+00
6.226580034141931952e-01,-1.875588707933305788e+00
6.289474781961547079e-01,-1.869325065044957990e+00
6.352369529781163315e-01,-1.863062407829083611e+00
6.415264277600778442e-01,-1.856800773588531239e+00
6.478159025420393569e-01,-1.850540201013971764e+00
6.541053773240008695e-01,-1.844280730233674115e+00
6.603948521059624932e-01,-1.838022402864921911e+00
6.666843268879240059e-01,-1.831765262067113209e+00
6.729738016698855185e-01,-1.825509352596585533e+00
6.792632764518471422e-01,-1.819254720863211272e+00
6.855527512338086549e-01,-1.813001414988802296e+00
6.918422260157701675e-01,-1.806749484867369748e+00
6.981317007977317912e-01,-1.800498982227279887e+00
7.044211755796933039e-01,-1.794249960695347035e+00
7.107106503616548165e-01,-1.788002475862907392e+00
7.170001251436164402e-01,-1.781756585353909461e+00
7.232895999255779529e-01,-1.775512348895065262e+00
7.295790747075394655e-01,-1.769269828388098542e+00
7.358685494895010892e-01,-1.763029087984124832e+00
7.421580242714626019e-01,-1.756790194160201324e+00
7.484474990534241146e-01,-1.750553215798079432e+00
7.547369738353857382e-01,-1.744318224265187789e+00
7.610264486173472509e-01,-1.738085293497878991e+00
7.673159233993087636e-01,-1.731854500086961623e+00
7.736053981812702762e-01,-1.725625923365541770e+00
7.798948729632318999e-01,-1.719399645499193330e+00
7.861843477451934126e-01,-1.713175751578469352e+00
7.924738225271549252e-01,-1.706954329713768814e+00
7.987632973091165489e-01,-1.700735471132561072e+00
8.050527720910780616e-01,-1.694519270278967760e+00
8.113422468730395742e-01,-1.688305824915701026e+00
8.176317216550011979e-01,-1.682095236228338564e+00
8.239211964369627106e-01,-1.675887608931923234e+00
8.302106712189242232e-01,-1.669683051379854177e+00
8.365001460008858469e-01,-1.663481675675038129e+00
8.427896207828473596e-01,-1.657283597783254958e+00
8.490790955648088723e-01,-1.651088937648680810e+00
8.553685703467703849e-01,-1.644897819311507359e+00
8.616580451287320086e-01,-1.638710371027578105e+00
8.679475199106935213e-01,-1.632526725389953359e+00
8.742369946926550339e-01,-1.626347019452301979e+00
8.805264694746166576e-01,-1.620171394854003744e+00
8.868159442565781703e-01,-1.613999997946829801e+00
8.931054190385396829e-01,-1.607832979923054628e+00
8.993948938205013066e-01,-1.601670496944834543e+00
9.056843686024628193e-01,-1.595512710274668233e+00
9.119738433844243319e-01,-1.589359786406738806e+00
9.182633181663859556e-01,-1.583211897198912199e+00
9.245527929483474683e-01,-1.577069220005148154e+00
9.308422677303089809e-01,-1.570931937808055956e+00
9.371317425122706046e-01,-1.564800239351303635e+00
9.434212172942321173e-01,-1.558674319271561082e+00
9.497106920761936300e-01,-1.552554378229636045e+00
9.560001668581552536e-01,-1.546440623040432838e+00
9.622896416401167663e-01,-1.540333266801329426e+00
9.685791164220782790e-01,-1.534232529018547453e+00
9.748685912040397916e-01,-1.528138635731052242e+00
9.811580659860014153e-01,-1.522051819631490721e+00
9.874475407679629280e-01,-1.515972320183641475e+00
9.937370155499244406e-01,-1.509900383735817142e+00
1.000026490331886064e+00,-1.503836263629626302e+00
1.006315965113847577e+00,-1.497780220303464027e+00
1.012605439895809090e+00,-1.491732521390068955e+00
1.018894914677770602e+00,-1.485693441807443893e+00
1.025184389459732115e+00,-1.479663263842405208e+00
1.031473864241693850e+00,-1.473642277225987840e+00
1.037763339023655362e+00,-1.467630779199899038e+00
1.044052813805616875e+00,-1.461629074573177034e+00
1.050342288587578388e+00,-1.455637475768179812e+00
1.056631763369539900e+00,-1.449656302854993362e+00
1.062921238151501413e+00,-1.443685883573320172e+00
1.069210712933463148e+00,-1.437726553340879843e+00
1.075500187715424660e+00,-1.431778655247324394e+00
1.081789662497386173e+00,-1.425842540032652428e+00
1.088079137279347686e+00,-1.419918566049080066e+00
1.094368612061309198e+00,-1.414007099205316642e+00
