x,t
3.710790121357313009e-01,-7.142017667420179627e+00
3.773684869176928691e-01,-7.148312895938525813e+00
3.836579616996543818e-01,-7.154608345768683542e+00
3.899474364816159500e-01,-7.160904025424596142e+00
3.962369112635774626e-01,-7.167199943747847080e+00
4.025263860455390308e-01,-7.173496109920283637e+00
4.088158608275005990e-01,-7.179792533477118432e+00
4.151053356094621116e-01,-7.186089224320537205e+00
4.213948103914236798e-01,-7.192386192733836836e+00
4.276842851733851925e-01,-7.198683449396100720e+00
4.339737599553467606e-01,-7.204981005397447902e+00
4.402632347373083288e-01,-7.211278872254865746e+00
4.465527095192698415e-01,-7.217577061928655446e+00
4.528421843012314096e-01,-7.223875586839510810e+00
4.591316590831929778e-01,-7.230174459886259619e+00
4.654211338651544905e-01,-7.236473694464285344e+00
4.717106086471160586e-01,-7.242773304484662944e+00
4.780000834290776268e-01,-7.249073304394034523e+00
4.842895582110391395e-01,-7.255373709195251486e+00
4.905790329930007077e-01,-7.261674534468808950e+00
4.968685077749622203e-01,-7.267975796395119481e+00
5.031579825569237885e-01,-7.274277511777639482e+00
5.094474573388853011e-01,-7.280579698066887318e+00
5.157369321208469248e-01,-7.286882373385400236e+00
5.220264069028084375e-01,-7.293185556553643423e+00
5.283158816847699502e-01,-7.299489267116933355e+00
5.346053564667315738e-01,-7.305793525373390551e+00
5.408948312486930865e-01,-7.312098352402984780e+00
5.471843060306545992e-01,-7.318403770097697603e+00
5.534737808126162228e-01,-7.324709801192854641e+00
5.597632555945777355e-01,-7.331016469299670213e+00
5.660527303765392482e-01,-7.337323798939050512e+00
5.723422051585007608e-01,-7.343631815576713073e+00
5.786316799404623845e-01,-7.349940545659659819e+00
5.849211547224238972e-01,-7.356250016654064083e+00
5.912106295043854098e-01,-7.362560257084632909e+00
5.975001042863470335e-01,-7.368871296575490781e+00
6.037895790683085462e-01,-7.375183165892648773e+00
6.100790538502700588e-01,-7.381495896988123917e+00
6.163685286322316825e-01,-7.387809523045775428e+00
6.226580034141931952e-01,-7.394124078528910182e+00
6.289474781961547079e-01,-7.400439599229747145e+00
6.352369529781163315e-01,-7.406756122320803826e+00
6.415264277600778442e-01,-7.413073686408274909e+00
6.478159025420393569e-01,-7.419392331587491896e+00
6.541053773240008695e-01,-7.425712099500536567e+00
6.603948521059624932e-01,-7.432033033396106880e+00
6.666843268879240059e-01,-7.438355178191702777e+00
6.729738016698855185e-01,-7.444678580538239387e+00
6.792632764518471422e-01,-7.451003288887187992e+00
6.855527512338086549e-01,-7.457329353560321117e+00
6.918422260157701675e-01,-7.463656826822189672e+00
6.981317007977317912e-01,-7.469985762955430708e+00
7.044211755796933039e-01,-7.476316218339011499e+00
7.107106503616548165e-01,-7.482648251529540495e+00
7.170001251436164402e-01,-7.488981923345749081e+00
7.232895999255779529e-01,-7.495317296956295117e+00
7.295790747075394655e-01,-7.501654437970988631e+00
7.358685494895010892e-01,-7.507993414535611088e+00
7.421580242714626019e-01,-7.514334297430441012e+00
7.484474990534241146e-01,-7.520677160172654752e+00
7.547369738353857382e-01,-7.527022079122747122e+00
7.610264486173472509e-01,-7.533369133595139822e+00
7.673159233993087636e-01,-7.539718405973141024e+00
7.736053981812702762e-01,-7.546069981828431139e+00
7.798948729632318999e-01,-7.552423950045262124e+00
7.861843477451934126e-01,-7.558780402949559551e+00
7.924738225271549252e-01,-7.565139436443116594e+00
7.987632973091165489e-01,-7.571501150143102876e+00
8.050527720910780616e-01,-7.577865647527088910e+00
8.113422468730395742e-01,-7.584233036083818824e+00
8.176317216550011979e-01,-7.590603427469964082e+00
8.239211964369627106e-01,-7.596976937673103336e+00
8.302106712189242232e-01,-7.603353687181180653e+00
8.365001460008858469e-01,-7.609733801158707678e+00
8.427896207828473596e-01,-7.616117409629998392e+00
8.490790955648088723e-01,-7.622504647669705591e+00
8.553685703467703849e-01,-7.628895655600984149e+00
8.616580451287320086e-01,-7.635290579201575945e+00
8.679475199106935213e-01,-7.641689569918169056e+00
8.742369946926550339e-01,-7.648092785089348311e+00
8.805264694746166576e-01,-7.654500388177524428e+00
8.868159442565781703e-01,-7.660912549010196138e+00
8.931054190385396829e-01,-7.667329444030952956e+00
8.993948938205013066e-01,-7.673751256560616518e+00
9.056843686024628193e-01,-7.680178177068968104e+00
9.119738433844243319e-01,-7.686610403457484253e+00
9.182633181663859556e-01,-7.693048141353582281e+00
9.245527929483474683e-01,-7.699491604416838442e+00
9.308422677303089809e-01,-7.705941014657712529e+00
9.371317425122706046e-01,-7.712396602769310938e+00
9.434212172942321173e-01,-7.718858608472745964e+00
9.497106920761936300e-01,-7.725327280876697067e+00
9.560001668581552536e-01,-7.731802878851774530e+00
9.622896416401167663e-01,-7.738285671420351619e+00
9.685791164220782790e-01,-7.744775938162530515e+00
9.748685912040397916e-01,-7.751273969638968531e+00
9.811580659860014153e-01,-7.757780067831298254e+00
9.874475407679629280e-01,-7.764294546600940095e+00
9.937370155499244406e-01,-7.770817732167122571e+00
1.000026490331886064e+00,-7.777349963604979877e+00
1.006315965113847577e+00,-7.783891593364630879e+00
1.012605439895809090e+00,-7.790442987812200570e+00
1.018894914677770602e+00,-7.797004527793784945e+00
1.025184389459732115e+00,-7.803576609223410898e+00
1.031473864241693850e+00,-7.810159643696110265e+00
1.037763339023655362e+00,-7.816754059127273280e+00
1.044052813805616875e+00,-7.823360300419503588e+00
1.050342288587578388e+00,-7.829978830158289327e+00
1.056631763369539900e+00,-7.836610129337835851e+00
1.062921238151501413e+00,-7.843254698118515833e+00
1.069210712933463148e+00,-7.849913056617445761e+00
1.075500187715424660e+00,-7.856585745733800863e+00
1.081789662497386173e+00,-7.863273328010541796e+00
1.088079137279347686e+00,-7.869976388534368539e+00
1.094368612061309198e+00,-7.876695535875755994e+00
1.100658086843270711e+00,-7.883431403071098131e+00
1.106947561625232446e+00,-7.890184648649051447e+00
1.113237036407193958e+00,-7.896955957703315931e+00
1.119526511189155471e+00,-7.903746043014228562e+00
1.125815985971116984e+00,-7.910555646221665071e+00
1.132105460753078496e+00,-7.917385539051911003e+00
1.138394935535040009e+00,-7.924236524601321996e+00
1.144684410317001522e+00,-7.931109438679760260e+00
1.150973885098963256e+00,-7.938005151216982469e+00
1.157263359880924769e+00,-7.944924567735357712e+00
1.163552834662886282e+00,-7.951868630892500178e+00
1.169842309444847794e+00,-7.958838322097624207e+00
1.176131784226809307e+00,-7.965834663205700217e+00
1.182421259008770820e+00,-7.972858718293720059e+00
1.188710733790732554e+00,-7.979911595523695667e+00
1.195000208572694067e+00,-7.986994449097301718e+00
1.201289683354655580e+00,-7.994108481307419467e+00
1.207579158136617092e+00,-8.001254944692169246e+00
1.213868632918578605e+00,-8.008435144297457953e+00
1.220158107700540118e+00,-8.015650440054402637e+00
1.226447582482501630e+00,-8.022902249278537568e+00
1.232737057264463365e+00,-8.030192049298115364e+00
1.239026532046424878e+00,-8.037521380219393663e+00
1.245316006828386390e+00,-8.044891847837360999e+00
1.251605481610347903e+00,-8.052305126700950666e+00
1.257894956392309416e+00,-8.059762963342510744e+00
1.264184431174270928e+00,-8.067267179681998357e+00
1.270473905956232663e+00,-8.074819676617185138e+00
1.276763380738194176e+00,-8.082422437811999316e+00
